pergunta,resposta esperada,resposta dada
Qual o total de vagas regulares de administração(noturno)?,O curso de administração possui 180 vagas regulares,180 vagas regulares de administração (noturno).
Oq a prova de palco avalia?,avalia o potencial e a qualidade da atuação do candidato na cena escolhida. Aspectos observados: acompreensão do texto e a expressividade vocal e corporal no desempenho da cena.,A Prova de Palco avalia o potencial e a qualidade da atuação do candidato na cena escolhida. Aspectos observados: a compreensão do texto e a expressividade vocal e corporal no desempenho da cena. A lista de peças para a prova de palco é fornecida acima.
Quais são os objetivos do VU 2024?,"O VU 2024 tem por objetivos:I. Classificar e selecionar candidatos(as) adequados(as) ao perfil de estudantes desejado pela Unicamp.
II. Verificar o domínio do conhecimento desenvolvido pelos(as) candidatos(as) nas diversas formas de educação do Ensino
Médio.
III. Avaliar a aptidão e o potencial dos candidatos(as) para o curso superior em que pretendem ingressar.
IV. Interagir com os sistemas de Ensino Fundamental e Médio e contribuir para o aprimoramento da educação básica.",Os objetivos do VU 2024 são: classificar e selecionar candidatos adequados ao perfil de estudantes desejado pela Unicamp; verificar o domínio do conhecimento desenvolvido pelos candidatos nas diversas formas de educação do Ensino Médio; avaliar a aptidão e o potencial dos candidatos para o curso superior em que pretendem ingressar; e interagir com os sistemas de Ensino Fundamental e Médio e contribuir para o aprimoramento da educação básica.
quais as condições para um candidato se inscrever no VU 2024?,"Poderá se inscrever no VU 2024 o(a) candidato(a) que satisfizer a uma das seguintes condições: I
. Ser portador(a) de certificado de conclusão de Ensino Médio ou equivalente.
II
. Estar cursando o Ensino Médio ou equivalente.
III
. Ser portador(a) de diploma de curso superior.","Os candidatos podem se inscrever no VU 2024 se forem portadores de certificado de conclusão de Ensino Médio ou equivalente, estiverem cursando o Ensino Médio ou equivalente ou serem portadores de diploma de curso superior, conforme descrito no artigo 4º da Resolução."
Em quais dias serão realizadas as fases do VU 2024?,A 1ª fase do VU 2024 será realizada no dia 29 de outubro de 2023. A 2ª fase do VU 2024 será realizada nos dias 03 e 04de dezembro de 2023.,A 1ª fase do VU 2024 será realizada no dia 29 de outubro de 2023 e a 2ª fase do VU 2024 será realizada nos dias 03 e 04 de dezembro de 2023.
"""Como é calculada a Nota Padronizada da 1a fase (NPF1)?""","A todo(a) candidato(a) presente será atribuída uma nota padronizada da 1ª fase (NPF1). A padronização atribui 500pontos à média e 100 pontos ao desvio padrão das notas brutas. A NPF1 do(a) candidato(a) é dada por:NPF1 = 500 + (N – M) x 100/DP,
em que:
I
. N é a nota definida no § 2º.
II
. M é a média de N dos(as) candidatos(as) presentes na 1ª fase, excluídas as notas iguais a 0 (zero), e M será arredondadapara uma casa decimal com precisão de 0,5.
III
. DP é o desvio padrão de N dos(as) candidatos(as) presentes na 1ª fase, excluídas as notas iguais a 0 (zero), e DP seráarredondado para uma casa decimal com precisão de 0,5.
IV
. A Nota Padronizada da 1ª fase (NPF1) será arredondada para uma casa decimal com precisão de 0,1.","A NPF1 do(a) candidato(a) é dada por: NPF1 = 500 + (N – M) x 100/DP, em que: N é a nota definida no § 2º; M é a média de N dos(as) candidatos(as) presentes na 1ª fase, excluídas as notas iguais a 0 (zero), e M será arredondada para uma casa decimal com precisão de 0,5; DP é o desvio padrão de N dos(as) candidatos(as) presentes na 1ª fase, excluídas as notas iguais a 0 (zero), e DP será arredondado para uma casa decimal com precisão de 0,5; A Nota Padronizada da 1ª fase (NPF1) será arredondada para uma casa decimal com precisão de 0,1."
Qual a taxa de inscrição do VU 2024?,"A Taxa de Inscrição para o VU 2024 será de R$ 192,00 (cento e noventa e dois reais)."," R$ 192,00 (cento e noventa e dois reais)."
Qual o conteúdo da prova de Curso de Música Popular – PIANO?,"Vídeo I: Para Sempre (Débora Gurgel). O candidato deve apresentar seu próprio arranjo da peça. O Vídeo I não deveultrapassar 500MB ou 4 minutos de duração. Vídeo II: Solfejos. Seguir as instruções da partitura fornecida no link específico. O Vídeo II não deve ultrapassar 500MB ou 4minutos de duração. Vídeo III: Peça de livre escolha, diferente da apresentada no Vídeo I, e com arranjo elaborado pelo próprio candidato. OVídeo III não deve ultrapassar 500MB ou 8 minutos de duração. ","Vídeo I: Para Sempre (Débora Gurgel). O candidato deve apresentar seu próprio arranjo da peça. O Vídeo I não deve ultrapassar 500MB ou 4 minutos de duração. Vídeo III: A partir da partitura fornecida, cantar uma voz e tocar outra ao piano, de acordo com as indicações abaixo: - Tocar o soprano e cantar o tenor; - Tocar o tenor e cantar o baixo; - Tocar o contralto e cantar o soprano; - Tocar o baixo e cantar o contralto. O candidato deve executar os quatro itens, do início ao fim, apenas com o texto 1. O Vídeo III não deve ultrapassar 500MB ou 8 minutos de duração."
Onde serão realizadas as provas de habilidades específicas para o curso de dança?,As provas de Habilidades Específicas para o curso de Dança serão realizadas somente em Campinas,As provas de habilidades específicas para o curso de dança serão realizadas somente em Campinas de 07 a 09 de dezembro de 2023.
Quais conteúdos serão cobrados em calorimetria e termodinâmica?,"1ªF/2ªF - Temperatura e equilíbrio térmico; 1ªF/2ªF - Lei Zero da Termodinâmica; 1ªF/2ªF - Lei Zero da Termodinâmica;
1ªF/2ªF - Primeira Lei da Termodinâmica;
1ªF/2ªF - Trocas de calor e propriedades térmicas da matéria;
1ªF/2ªF - Gases perfeitos;
1ªF/2ªF - Trabalho realizado por um gás em expansão;
1ªF/2ªF - Transições de fase, calor latente.""","Primeira Lei da Termodinâmica, trocas de calor e propriedades térmicas da matéria, gases perfeitos, trabalho realizado por um gás em expansão, transições de fase e calor latente."
Qual o preparo do curso de Arquitetura e Urbanismo da Unicamp?,"O curso de Arquitetura e Urbanismo da Unicamp prepara o arquiteto para compreender as necessidades de indivíduos,grupos sociais e comunidades, projetando edifícios, parques, equipamentos e planejando as cidades e o território.Considerando que o trabalho do arquiteto trata da articulação de inúmeras variáveis que se materializam e se configuram apartir do domínio espacial, é desejável que quem pretenda cursar Arquitetura e Urbanismo demonstre habilidade namanipulação de elementos gráficos além de sensibilidade, inventividade e interesse pelos ambientes e lugares criados pelainventividade humana, que resultam nas cidades, seu maior artefato, e na paisagem cultural.","O curso de Arquitetura e Urbanismo da Unicamp prepara o arquiteto para compreender as necessidades de indivíduos, grupos sociais e comunidades, projetando edifícios, parques, equipamentos e planejando as cidades e o território. Considerando que o trabalho do arquiteto trata da articulação de inúmeras variáveis que se materializam e se configuram a partir do domínio espacial, é desejável que quem pretenda cursar Arquitetura e Urbanismo demonstre habilidade na manipulação de elementos gráficos além de sensibilidade, inventividade e interesse pelos ambientes e lugares criados pela inventividade humana, que resultam nas cidades, seu maior artefato, e na paisagem cultural."
Quanto vale a prova de habilidades específicas para o curso de artes cênicas?,A prova de Habilidades Específicas para o curso de Artes Cênicas vale 48 pontos, A prova de habilidades específicas para o curso de artes cênicas vale 48 pontos.
Cite as 3 primeiras peças para a prova de palco,1. Anton Tchekhov – As três irmãs; 2.. Arístides Vargas – Flores arrancadas à neve;3.. Bernard-Marie Koltès – Roberto Zucco;,1. Anton Tchekhov – As três irmãs; 2. Arístides Vargas – Flores arrancadas à neve; 3. Bernard-Marie Koltès – Roberto Zucco.
Quais materiais devo levar para a prova de habilidades específicas?,"Lápis ou lapiseira com grafites macias: B, 2B, 6B;Canetas hidrográficas coloridas;
- Caixa de lápis de cor;
- Compasso;
- Fita adesiva;
- Cola bastão;
- Tesoura pequena;
- Borracha.","Lápis ou lapiseira com grafites macias: B, 2B, 6B; Canetas hidrográficas coloridas; Caixa de lápis de cor; Compasso; Fita adesiva."
Quais critérios devo atender na prova de redação?,"Os critérios que devem ser atendidos na redação são: Proposta temática, Gênero, Leitura e Articulação escrita","Os candidatos devem, no desenvolvimento da proposta de redação por eles escolhida, atender aos seguintes critérios: Proposta temática, Gênero, Leitura e Articulação escrita."
Em quais casos a minha redação é zerada?,"1. Se o candidato abordar outro tema que não o da proposta escolhida;2
. Se o candidato não cumprir as tarefas solicitadas na proposta nem cumprir o gênero discursivo solicitado nela;
3
. Se o candidato simplesmente reproduzir os textos da prova (ou partes dos mesmos) em forma de colagem, sejam doenunciado, sejam da coletânea da proposta escolhida.","Se o candidato abordar outro tema que não o da proposta escolhida, se o candidato não cumprir as tarefas solicitadas na proposta nem cumprir o gênero discursivo solicitado nela, ou se o candidato simplesmente reproduzir os textos da prova (ou partes dos mesmos) em forma de colagem, sejam do enunciado, sejam da coletânea da proposta escolhida."
Qual o total de vagas do curso de música(licenciatura)?,Música: Licenciatura – 14 vagas, 14 vagas.
quem pode participar do Programa de Ação Afirmativa e Inclusão Social (PAAIS),"Os(as) candidatos(as) que tenham cursado o Ensino Fundamental II e/ou o Ensino Médio integralmente em escolapública brasileira poderão participar do Programa de Ação Afirmativa e Inclusão Social (PAAIS), recebendo a bonificaçãoespecificada naDeliberação CONSU-A-032/2017",Candidatos(as) que tenham cursado o Ensino Fundamental II e/ou o Ensino Médio integralmente em escola pública brasileira podem participar do Programa de Ação Afirmativa e Inclusão Social (PAAIS).
A utilização da bonificação PAAIS é facultativa?,"Sim, a utilização da bonificação PAAIS é facultativa","Sim, a utilização da bonificação PAAIS é facultativa, conforme indicado no §1º do Art. 9º."
Quantas questões há na primeira fase?,72 questões,72 questões.